,Date,Tour,Code département,département,Blancs et nuls,Exprimés,Inscrits,Votants,Abstention,Votants (%),Abstention (%),Année
46,1965-12-05,1.0,51,MARNE,2034.0,216242.0,258504.0,218276.0,40228.0,84.44,15.56,1965
47,1965-12-05,1.0,52,HAUTE-MARNE,1188.0,101857.0,120192.0,103045.0,17147.0,85.73,14.27,1965
48,1965-12-05,1.0,53,MAYENNE,2052.0,133126.0,152468.0,135178.0,17290.0,88.66,11.34,1965
49,1965-12-05,1.0,54,MEURTHE-ET-MOSELLE,2733.0,317550.0,369435.0,320283.0,49152.0,86.7,13.3,1965
50,1965-12-05,1.0,55,MEUSE,1163.0,103581.0,120871.0,104744.0,16127.0,86.66,13.34,1965
51,1965-12-05,1.0,56,MORBIHAN,1931.0,279917.0,336778.0,281848.0,54930.0,83.69,16.31,1965
52,1965-12-05,1.0,57,MOSELLE,4317.0,409796.0,479367.0,414113.0,65254.0,86.39,13.61,1965
53,1965-12-05,1.0,58,NIEVRE,1397.0,131812.0,156261.0,133209.0,23052.0,85.25,14.75,1965
54,1965-12-05,1.0,59,NORD,14411.0,1149826.0,1317096.0,1164237.0,152859.0,88.39,11.61,1965
55,1965-12-05,1.0,6,ALPES-MARITIMES,4041.0,341740.0,408969.0,345781.0,63188.0,84.55,15.45,1965
56,1965-12-05,1.0,60,OISE,3206.0,245492.0,283198.0,248698.0,34500.0,87.82,12.18,1965
57,1965-12-05,1.0,61,ORNE,1490.0,144467.0,169026.0,145957.0,23069.0,86.35,13.65,1965
58,1965-12-05,1.0,62,PAS-DE-CALAIS,7531.0,659788.0,754447.0,667319.0,87128.0,88.45,11.55,1965
59,1965-12-05,1.0,63,PUY-DE-DOME,2213.0,258371.0,315855.0,260584.0,55271.0,82.5,17.5,1965
60,1965-12-05,1.0,64,PYRENEES-ATLANTIQUES,2094.0,257342.0,307350.0,259436.0,47914.0,84.41,15.59,1965
61,1965-12-05,1.0,65,HAUTES-PYRENEES,972.0,113617.0,139183.0,114589.0,24594.0,82.33,17.67,1965
62,1965-12-05,1.0,66,PYRENEES-ORIENTALES,1664.0,129914.0,162867.0,131578.0,31289.0,80.79,19.21,1965
63,1965-12-05,1.0,67,BAS-RHIN,4649.0,384821.0,465601.0,389470.0,76131.0,83.65,16.35,1965
64,1965-12-05,1.0,68,HAUT-RHIN,4974.0,287443.0,340279.0,292417.0,47862.0,85.93,14.07,1965
65,1965-12-05,1.0,69,RHONE,4056.0,521929.0,623073.0,525985.0,97088.0,84.42,15.58,1965
66,1965-12-05,1.0,7,ARDECHE,1270.0,137170.0,165626.0,138440.0,27186.0,83.59,16.41,1965
67,1965-12-05,1.0,70,HAUTE-SAONE,1394.0,111540.0,131843.0,112934.0,18909.0,85.66,14.34,1965
68,1965-12-05,1.0,71,SAONE-ET-LOIRE,2309.0,262911.0,330416.0,265220.0,65196.0,80.27,19.73,1965
69,1965-12-05,1.0,72,SARTHE,2792.0,224891.0,267118.0,227683.0,39435.0,85.24,14.76,1965
70,1965-12-05,1.0,73,SAVOIE,866.0,128373.0,161284.0,129239.0,32045.0,80.13,19.87,1965
71,1965-12-05,1.0,74,HAUTE-SAVOIE,1119.0,164735.0,201066.0,165854.0,35212.0,82.49,17.51,1965
72,1965-12-05,1.0,75,SEINE,24139.0,2755863.0,3220059.0,2780002.0,440057.0,86.33,13.67,1965
73,1965-12-05,1.0,76,SEINE-MARITIME,5124.0,528142.0,620379.0,533266.0,87113.0,85.96,14.04,1965
74,1965-12-05,1.0,77,SEINE-ET-MARNE,3075.0,276159.0,324024.0,279234.0,44790.0,86.18,13.82,1965
75,1965-12-05,1.0,78,YVELINES,11089.0,1233482.0,1414232.0,1244571.0,169661.0,88.0,12.0,1965
76,1965-12-05,1.0,79,DEUX-SEVRES,1912.0,168008.0,199663.0,169920.0,29743.0,85.1,14.9,1965
77,1965-12-05,1.0,8,ARDENNES,1497.0,140700.0,166779.0,142197.0,24582.0,85.26,14.74,1965
78,1965-12-05,1.0,80,SOMME,3247.0,263331.0,296674.0,266578.0,30096.0,89.86,10.14,1965
79,1965-12-05,1.0,81,TARN,3063.0,179665.0,208056.0,182728.0,25328.0,87.83,12.17,1965
80,1965-12-05,1.0,82,TARN-ET-GARONNE,1423.0,95021.0,111336.0,96444.0,14892.0,86.62,13.38,1965
81,1965-12-05,1.0,83,VAR,2836.0,256848.0,313027.0,259684.0,53343.0,82.96,17.04,1965
82,1965-12-05,1.0,84,VAUCLUSE,2691.0,165101.0,194343.0,167792.0,26551.0,86.34,13.66,1965
83,1965-12-05,1.0,85,VENDEE,3027.0,218590.0,254569.0,221617.0,32952.0,87.06,12.94,1965
84,1965-12-05,1.0,86,VIENNE,2124.0,171828.0,206914.0,173952.0,32962.0,84.07,15.93,1965
85,1965-12-05,1.0,87,HAUTE-VIENNE,2368.0,188893.0,226817.0,191261.0,35556.0,84.32,15.68,1965
86,1965-12-05,1.0,88,VOSGES,3186.0,192104.0,230176.0,195290.0,34886.0,84.84,15.16,1965
87,1965-12-05,1.0,89,YONNE,1680.0,144083.0,172499.0,145763.0,26736.0,84.5,15.5,1965
88,1965-12-05,1.0,9,ARIEGE,811.0,76443.0,94742.0,77254.0,17488.0,81.54,18.46,1965
89,1965-12-05,1.0,90,TERRITOIRE DE BELFORT,536.0,53474.0,64222.0,54010.0,10212.0,84.1,15.9,1965
90,1965-12-19,2.0,1,AIN,2161.0,182411.0,212581.0,184572.0,28009.0,86.82,13.18,1965
91,1965-12-19,2.0,10,AUBE,2017.0,140713.0,161018.0,142730.0,18288.0,88.64,11.36,1965
92,1965-12-19,2.0,11,AUDE,2208.0,160295.0,180319.0,162503.0,17816.0,90.12,9.88,1965
93,1965-12-19,2.0,12,AVEYRON,2156.0,167176.0,189078.0,169332.0,19746.0,89.56,10.44,1965
94,1965-12-19,2.0,13,BOUCHES-DU-RHONE,8069.0,685868.0,818706.0,693937.0,124769.0,84.76,15.24,1965
95,1965-12-19,2.0,14,CALVADOS,3678.0,273432.0,314438.0,277110.0,37328.0,88.13,11.87,1965
96,1965-12-19,2.0,15,CANTAL,987.0,95547.0,111744.0,96534.0,15210.0,86.39,13.61,1965
97,1965-12-19,2.0,16,CHARENTE,3313.0,180714.0,206132.0,184027.0,22105.0,89.28,10.72,1965
98,1965-12-19,2.0,17,CHARENTE-MARITIME,3891.0,259763.0,307577.0,263654.0,43923.0,85.72,14.28,1965
99,1965-12-19,2.0,18,CHER,2273.0,166698.0,190758.0,168971.0,21787.0,88.58,11.42,1965
100,1965-12-19,2.0,19,CORREZE,2036.0,146885.0,165132.0,148921.0,16211.0,90.18,9.82,1965
101,1965-12-19,2.0,2,AISNE,4426.0,270942.0,304866.0,275368.0,29498.0,90.32,9.68,1965
102,1965-12-19,2.0,20,CORSE,1777.0,205858.0,258717.0,207635.0,51082.0,80.26,19.74,1965
103,1965-12-19,2.0,21,COTE-D'OR,2386.0,225139.0,257787.0,227525.0,30262.0,88.26,11.74,1965
104,1965-12-19,2.0,22,COTES-D'ARMOR,2409.0,270787.0,304386.0,273196.0,31190.0,89.75,10.25,1965
105,1965-12-19,2.0,23,CREUSE,1585.0,108769.0,125411.0,110354.0,15057.0,87.99,12.01,1965
106,1965-12-19,2.0,24,DORDOGNE,3657.0,247975.0,281696.0,251632.0,30064.0,89.33,10.67,1965
107,1965-12-19,2.0,25,DOUBS,2458.0,200538.0,228021.0,202996.0,25025.0,89.03,10.97,1965
108,1965-12-19,2.0,26,DROME,2329.0,180919.0,207279.0,183248.0,24031.0,88.41,11.59,1965
109,1965-12-19,2.0,27,EURE,2799.0,207203.0,233511.0,210002.0,23509.0,89.93,10.07,1965
110,1965-12-19,2.0,28,EURE-ET-LOIR,2001.0,171758.0,195119.0,173759.0,21360.0,89.05,10.95,1965
111,1965-12-19,2.0,29,FINISTERE,3527.0,456216.0,524471.0,459743.0,64728.0,87.66,12.34,1965
112,1965-12-19,2.0,3,ALLIER,2569.0,211312.0,241165.0,213881.0,27284.0,88.69,11.31,1965
113,1965-12-19,2.0,30,GARD,3200.0,244191.0,276799.0,247391.0,29408.0,89.38,10.62,1965
114,1965-12-19,2.0,31,HAUTE-GARONNE,4941.0,373515.0,428976.0,378456.0,50520.0,88.22,11.78,1965
115,1965-12-19,2.0,32,GERS,1913.0,109095.0,129536.0,111008.0,18528.0,85.7,14.3,1965
116,1965-12-19,2.0,33,GIRONDE,10349.0,526650.0,624583.0,536999.0,87584.0,85.98,14.02,1965
117,1965-12-19,2.0,34,HERAULT,3628.0,308569.0,357329.0,312197.0,45132.0,87.37,12.63,1965
118,1965-12-19,2.0,35,ILLE-ET-VILAINE,3971.0,335910.0,384435.0,339881.0,44554.0,88.41,11.59,1965
119,1965-12-19,2.0,36,INDRE,2438.0,149769.0,176261.0,152207.0,24054.0,86.35,13.65,1965
120,1965-12-19,2.0,37,INDRE-ET-LOIRE,3935.0,226307.0,262652.0,230242.0,32410.0,87.66,12.34,1965
121,1965-12-19,2.0,38,ISERE,4718.0,393369.0,454024.0,398087.0,55937.0,87.68,12.32,1965
122,1965-12-19,2.0,39,JURA,1696.0,118913.0,135925.0,120609.0,15316.0,88.73,11.27,1965
123,1965-12-19,2.0,4,ALPES-DE-HAUTE-PROVENCE,865.0,61685.0,70077.0,62550.0,7527.0,89.26,10.74,1965
124,1965-12-19,2.0,40,LANDES,2481.0,170242.0,192620.0,172723.0,19897.0,89.67,10.33,1965
125,1965-12-19,2.0,41,LOIR-ET-CHER,1980.0,136806.0,159328.0,138786.0,20542.0,87.11,12.89,1965
