product-company-id,product-id,gtin,label,company-id,internal-reference,cat-id,brand_internal_reference,scraped_brand_name,last_recommended_price,last-original-price,min_price_in_store,max_price_in_store,avg_price_in_store,stddev_price_in_store,discount,creation_date,last-update-date,url,ranking,ratings_stars,rating_count,picture_url,company_stock,avg_stock_in_store,company_presence,company_to_order,company_out_of_stock,company_soon_available,stddev_stock_in_store
0 204 116 4702743,0,3165141166606.0,BOSCH Cylindre de roue,2743,0 204 116 470,,,BOSCH,16.41,22.17,,,,,1,2020-04-21,2020-04-20 00:00:00,https://www.auto-doc.fr/search?keyword=SUPERSPRINT%20762113,6,3,,https://cdn.autodoc.de/thumb?id=1147089&m=2&n=0&lng=fr&ccf=94077774,,,0,0,0,0,
0 204 120 0182743,0,3165141139891.0,"BOSCH Kit d'assemblage, dispositif d'assistance de frein",2743,0 204 120 018,,0 204 120 018,BOSCH,7.13,8.59,,,,,1,2020-05-01,2020-05-02 00:00:00,https://www.auto-doc.fr/bosch/658429,159,4,,https://cdn.autodoc.de/thumb?id=658429&m=2&n=0&lng=fr&ccf=94077774,,,0,0,0,0,
0 204 122 2612743,0,3165141166972.0,BOSCH Maître-cylindre de frein,2743,0 204 122 261,,0 204 122 261,BOSCH,112.25,145.78,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=128,1280,3,,https://cdn.autodoc.de/uploads/generic/atd/200x200/258.png,,,0,0,0,0,
0 204 122 2662743,0,3165141167047.0,BOSCH Maître-cylindre de frein,2743,0 204 122 266,,,BOSCH,104.66,139.55,,,,,1,2020-04-06,2020-04-06 00:00:00,https://www.auto-doc.fr/bosch/1147146,1029,3,,https://cdn.autodoc.de/thumb?id=1147146&m=2&n=0&lng=fr&ccf=94077774,,,0,0,0,0,
0 204 122 2962743,0,3165141233605.0,BOSCH Maître-cylindre de frein,2743,0 204 122 296,,0 204 122 296,BOSCH,69.8,88.35,,,,,1,2020-04-06,2020-05-17 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=29,289,3,,https://cdn.autodoc.de/thumb?id=1147149&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 204 123 0312743,0,3165141172461.0,BOSCH Maître-cylindre de frein,2743,0 204 123 031,,0 204 123 031,BOSCH,103.51,134.43,,,,,1,2020-05-12,2020-05-12 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=187,1869,3,,https://cdn.autodoc.de/thumb?id=1147155&m=2&n=0&lng=fr&ccf=94077792,,,0,0,0,0,
0 204 123 0842743,0,3165141128444.0,BOSCH Maître-cylindre de frein,2743,0 204 123 084,,0 204 123 084,BOSCH,210.64,273.56,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=111,1101,3,,https://cdn.autodoc.de/thumb?id=1147173&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
0 204 123 1362743,0,3165141128611.0,BOSCH Maître-cylindre de frein,2743,0 204 123 136,,0 204 123 136,BOSCH,169.89,215.05,,,,,1,2020-04-06,2020-05-17 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=55,546,3,,https://cdn.autodoc.de/thumb?id=1147181&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 204 123 1402743,0,3165141172577.0,BOSCH Maître-cylindre de frein,2743,0 204 123 140,,0 204 123 140,BOSCH,239.06,310.47,,,,,1,2020-05-12,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/1147183,2013,3,,https://cdn.autodoc.de/thumb?id=1147183&m=2&n=0&lng=fr&ccf=94077792,,,0,0,0,0,
0 204 123 1582743,0,3165141128642.0,BOSCH Maître-cylindre de frein,2743,0 204 123 158,,0 204 123 158,BOSCH,225.06,292.28,,,,,1,2020-05-12,2020-05-12 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=202,2014,3,,https://cdn.autodoc.de/thumb?id=1147187&m=2&n=0&lng=fr&ccf=94077792,,,0,0,0,0,
0 204 123 1722743,0,3165141136104.0,BOSCH Maître-cylindre de frein,2743,0 204 123 172,,0 204 123 172,BOSCH,128.51,166.89,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=129,1281,3,,https://cdn.autodoc.de/thumb?id=1147193&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
0 204 123 1742743,0,3165141169386.0,BOSCH Maître-cylindre de frein,2743,0 204 123 174,,,BOSCH,87.25,116.33,,,,,1,2020-04-06,2020-04-06 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=152,1518,3,,https://cdn.autodoc.de/thumb?id=1147194&m=2&n=0&lng=fr&ccf=94077774,,,0,0,0,0,
